,ra,dec
1473,149.762123849,2.46795001433
1474,149.778244553,2.45910266755
1475,149.781968044,2.47125130325
1476,150.011159973,2.3679007713
1477,150.0364099643,2.3210737903
1478,150.0522799732,2.3693448682
1480,150.1236299891,2.3582992687
1482,149.839727084,2.53749054008
1483,149.892831775,2.60165294502
1484,149.769452749,2.57956295863
1490,150.0915399595,2.3990724032
1491,149.909360244,2.61970940582
1497,150.129824558,2.62483855659
1499,149.7410799723,2.0343510827
1502,149.642542697,2.05048671796
1503,149.9230399984,2.0269805845
1504,149.9798000108,1.9604395918
1505,149.969412941,1.84658936215
1506,149.9990300043,1.9898735985
1507,150.06365916,1.7773736653
1513,149.7405000061,2.1145770864
1514,150.0233399661,2.1170509048
1515,150.2538499933,1.9299292954
